"filename", "language", "C", "C++", "comment", "blank", "total"
"d:\documents\opengl-leren\src\gfx\renderer.c", "C", 73, 0, 3, 18, 94
"d:\documents\opengl-leren\src\gfx\renderer.h", "C++", 0, 22, 0, 5, 27
"d:\documents\opengl-leren\src\gfx\shader.c", "C", 49, 0, 0, 11, 60
"d:\documents\opengl-leren\src\gfx\shader.h", "C++", 0, 3, 0, 1, 4
"d:\documents\opengl-leren\src\main.c", "C", 68, 0, 1, 21, 90
"d:\documents\opengl-leren\src\math\linmath.c", "C", 32, 0, 1, 5, 38
"d:\documents\opengl-leren\src\math\linmath.h", "C++", 0, 11, 0, 4, 15
"d:\documents\opengl-leren\src\state.h", "C++", 0, 15, 0, 4, 19
"d:\documents\opengl-leren\src\util\defines.h", "C++", 0, 16, 0, 5, 21
"d:\documents\opengl-leren\src\util\file.c", "C", 27, 0, 2, 9, 38
"d:\documents\opengl-leren\src\util\file.h", "C++", 0, 2, 0, 1, 3
"d:\documents\opengl-leren\src\util\log.c", "C", 16, 0, 0, 5, 21
"d:\documents\opengl-leren\src\util\log.h", "C++", 0, 21, 0, 5, 26
"Total", "-", 265, 90, 7, 94, 456
